,username,bot_type,node_entanglement,eigenvector_centrality,betweenness_centrality,closeness_centrality,clique_number,page_rank,random_walk
0,ABC,private_account,-0.00234394930560633,6.713063126113663e-07,0.0,0.02654546301987596,2,0.0003538035128885145,0.0003538035128885145
1,Left_of_You,private_account,-0.00234394930560633,7.911735269999584e-06,0.0007426755627355752,0.031849304295855134,2,0.0018212783494962685,0.0018212783494962685
2,politico,spammer,-0.00234394930560633,6.713063126113663e-07,0.0,0.02654546301987596,2,0.0003538035128885145,0.0003538035128885145
3,US_FDA,private_account,-0.00234394930560633,6.713063126113663e-07,0.0,0.02654546301987596,2,0.0003538035128885145,0.0003538035128885145
4,CNN,private_account,-0.00234394930560633,8.985374515674618e-05,0.004676265316526906,0.03950876888725097,2,0.0008471898755955028,0.0008471898755955028
5,CBSMornings,private_account,-0.00234394930560633,6.713063126113663e-07,0.0,0.02654546301987596,2,0.0003538035128885145,0.0003538035128885145
6,CDCDirector,private_account,-3.7759895015199163e-06,6.761804402487958e-07,0.0001246017140137759,0.02656736521708708,2,0.0006803283549129578,0.0006803283549129578
7,danny086756661,spammer,-0.002343949305608106,0.0010413894053085658,0.019831102993494495,0.049234933705060456,2,0.022713427212127046,0.022713427212127046
8,evolv67,private_account,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
9,UbuntuForever,other,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
10,Carol64653456,spammer,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
11,imhopolitical,spammer,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
12,lauferlaw,private_account,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
13,NorrinR06303580,private_account,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
14,pushing_0,spammer,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
15,viewsfordays,self_declared,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
16,ElectPhoney,private_account,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
17,whydidicomeback,other,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
18,CMOH_Alberta,spammer,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
19,DrTomFrieden,other,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
20,katspjz,private_account,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
21,absolute_phil,private_account,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
22,AttiMagyar,spammer,-0.002343949305608106,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
23,sinfoid,private_account,1.7763568394002505e-15,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
24,picardonhealth,spammer,0.0022513133844626054,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
25,petemcmartin,private_account,0.0069247723763812274,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
26,VancouverSun,spammer,-0.00234394930560633,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
27,SteveWi60622710,other,-0.00234394930560633,8.83332520034553e-05,0.0,0.03761640962980086,2,0.0003370073759744241,0.0003370073759744241
