,value,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,closeness_centrality,clique_number,before_percolation,after_percolation,page_rank,random_walk,mass_equivalent,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality
0,Total,500303.0,-0.14345365847436753,1.1356348149820483,0.0803212256860882,1.8112091639556418,737.0,0.0803212256860882,0.11216670152880705,0.4598041161974955,0.4598041161974955,9.758457995488407e-11,2.870885020210845e-11,1.5798068896473891e-15,8.776704942485494e-16
1,Mean,1182.7494089834515,-0.0003391339443838476,0.0026847158746620527,0.0001898846942933527,1.8112091639556418,1.7423167848699763,0.0001898846942933527,0.00026516950716030035,0.0010870073668971525,0.0010870073668971525,2.306964065127283e-13,6.786962222720674e-14,3.7347680606321255e-18,2.074871144795625e-18
2,Standard Deviation,4817.567337185361,0.0013073557826516217,0.03513356576018713,0.0014560309076621343,1.8112091639556418,0.4480388828502403,0.0014560309076621343,0.0020706393042395194,0.0029113864417025475,0.0029113864417025475,9.396711293028482e-13,2.7644611169995986e-13,1.521243340660692e-17,8.451351892559399e-18
