,id,username,bot_type,user_type,origin_tweet_date,degree,tweet_url
276,1519,MelissaLMRogers,spammer,bot,2022-12-15,162,https://twitter.com/MelissaLMRogers/status/1603183066087825408
277,1462,HSELive,spammer,bot,2022-12-16,160,https://twitter.com/HSELive/status/1603791886250041344
278,1605,IzizzyG,spammer,bot,2022-12-14,160,https://twitter.com/IzizzyG/status/1603159547107233793
279,1460,investisseurfaq,spammer,bot,2022-12-16,156,https://twitter.com/investisseurfaq/status/1603790560716021760
280,782,PantsClock,false (human account),human,2021-07-19,153,https://twitter.com/PantsClock/status/1417058833537585156
281,574,sir_lars,false (human account),human,2021-10-07,151,https://twitter.com/sir_lars/status/1446059885548953601
282,816,justletmebeme1,false (human account),human,2021-07-18,151,https://twitter.com/justletmebeme1/status/1416908310368985091
283,1599,jofiworks,private_account,bot,2022-12-14,151,https://twitter.com/jofiworks/status/1603157450571513857
284,581,VanderleydeSo14,private_account,bot,2021-08-30,150,https://twitter.com/VanderleydeSo14/status/1432415992286744583
285,1457,45BigBadWolf,other,bot,2022-12-16,150,https://twitter.com/45BigBadWolf/status/1603788585806614531
286,2258,Coldhardfacts5,self_declared,bot,2022-12-15,150,https://twitter.com/Coldhardfacts5/status/1603473597288353811
287,1598,Antonio_Caramia,private_account,bot,2022-12-14,149,https://twitter.com/Antonio_Caramia/status/1603157106080759808
288,689,1SweetSoldier,false (human account),human,2021-08-15,148,https://twitter.com/1SweetSoldier/status/1426969431809437696
289,1499,TheReaganFiles1,spammer,bot,2022-12-14,146,https://twitter.com/TheReaganFiles1/status/1603175411130814465
290,1454,DogFacePonia,private_account,bot,2022-12-16,144,https://twitter.com/DogFacePonia/status/1603786870042886146
291,1452,Mr_John_Harvey_,spammer,bot,2022-12-16,140,https://twitter.com/Mr_John_Harvey_/status/1603786361953079296
292,831,elofan1276,false (human account),human,2021-07-22,139,https://twitter.com/elofan1276/status/1418333361601458177
293,1593,mohamedmahdi7,false (human account),human,2022-12-14,139,https://twitter.com/mohamedmahdi7/status/1603155948050292737
294,1451,vickdimin,spammer,bot,2022-12-16,138,https://twitter.com/vickdimin/status/1603785227108761602
295,849,DixieGenX,false (human account),human,2021-05-24,137,https://twitter.com/DixieGenX/status/1396717985746804737
296,2251,agency_map,private_account,bot,2022-12-15,136,https://twitter.com/agency_map/status/1603443230451941388
297,1589,Todd98629,false (human account),human,2022-12-14,135,https://twitter.com/Todd98629/status/1603154533865369601
298,1588,berkedei,other,bot,2022-12-14,134,https://twitter.com/berkedei/status/1603154438532648960
299,2249,SickKidsNews,private_account,bot,2022-12-15,132,https://twitter.com/SickKidsNews/status/1603434256285433862
300,749,Jaye1222,false (human account),human,2021-07-21,130,https://twitter.com/Jaye1222/status/1417673584588333056
301,1505,BRAINCURES,spammer,bot,2022-12-14,126,https://twitter.com/BRAINCURES/status/1603177097194872833
302,1584,76America76,spammer,bot,2022-12-14,126,https://twitter.com/76America76/status/1603153323162566657
303,2218,meesthetics,private_account,bot,2022-12-07,118,https://twitter.com/meesthetics/status/1600572480724226049
304,1440,LuigiValentino,spammer,bot,2022-12-16,116,https://twitter.com/LuigiValentino/status/1603780680814673921
305,827,JackJackedMe,private_account,bot,2021-07-23,111,https://twitter.com/JackJackedMe/status/1418443715459354627
306,891,laureenrobinso1,false (human account),human,2021-05-23,110,https://twitter.com/laureenrobinso1/status/1396312428426764288
307,2233,VidalioVar,spammer,bot,2022-12-15,106,https://twitter.com/VidalioVar/status/1603459629446533120
308,825,KyleJayBonnell,false (human account),human,2021-07-22,105,https://twitter.com/KyleJayBonnell/status/1418308262194147342
309,1434,AishaKh19035278,spammer,bot,2022-12-16,104,https://twitter.com/AishaKh19035278/status/1603778912651448320
310,2231,Terry6969696,spammer,bot,2022-12-15,102,https://twitter.com/Terry6969696/status/1603441636184408090
311,838,BaringMyClaws,false (human account),human,2021-07-21,101,https://twitter.com/BaringMyClaws/status/1417987339545026561
312,1556,Patri0tRever3,spammer,bot,2022-12-15,100,https://twitter.com/Patri0tRever3/status/1603193797881446401
313,1555,thevivafrei,spammer,bot,2022-12-15,98,https://twitter.com/thevivafrei/status/1603193736652939264
314,959,Sayyestolifeno1,false (human account),human,2021-08-05,97,https://twitter.com/Sayyestolifeno1/status/1423343791214366722
315,747,j_windsong,private_account,bot,2021-10-17,96,https://twitter.com/j_windsong/status/1449845992430444551
316,1430,AbeedahAkhtar,spammer,bot,2022-12-16,96,https://twitter.com/AbeedahAkhtar/status/1603778692106579968
317,1567,SurrealHayes,spammer,bot,2022-12-14,96,https://twitter.com/SurrealHayes/status/1603148953284911104
318,935,Vicmot,false (human account),human,2021-07-18,92,https://twitter.com/Vicmot/status/1416714128387887106
319,1428,1984resistant,spammer,bot,2022-12-16,92,https://twitter.com/1984resistant/status/1603777948427116544
320,839,momJenRodriguez,private_account,bot,2021-05-25,90,https://twitter.com/momJenRodriguez/status/1397253171534311424
321,2335,RedLights4FF,spammer,bot,2022-12-07,90,https://twitter.com/RedLights4FF/status/1600572149349195777
322,1425,SayNoToSino,spammer,bot,2022-12-16,86,https://twitter.com/SayNoToSino/status/1603774557172551684
323,2380,smadax,private_account,bot,2022-12-08,86,https://twitter.com/smadax/status/1600932489920647168
324,927,mattlargey,false (human account),human,2021-07-18,84,https://twitter.com/mattlargey/status/1416860939178151938
325,2390,DDPHE,other,bot,2022-12-07,84,https://twitter.com/DDPHE/status/1600505927932809220
326,723,globalism_no,private_account,bot,2021-08-27,83,https://twitter.com/globalism_no/status/1431396057339080708
327,926,Andreopeeneilan,false (human account),human,2021-07-18,83,https://twitter.com/Andreopeeneilan/status/1416876962707124224
