,username,before_percolation,after_percolation,degree,change
1404,PastorMikeDyal,3.084200841925146e-07,3.832117680988984e-07,762,increase
1111,DOMSinaiNYC,0.0,0.0,761,no change
1190,TruthSavageMan,0.0,0.0,755,no change
2404,jholow9,0.0,0.0,753,no change
2403,Bossy_Leah,0.0,0.0,752,no change
1187,PrimeIndexes,0.0,0.0,751,no change
2399,onlyasjack,0.0,0.0,748,no change
1358,PatientCV,0.0,0.0,747,no change
1185,LisaAStanley127,0.0,0.0,741,no change
2394,RealCarlVernon,0.0,0.0,730,no change
403,Simone_Voice,9.252602525775438e-07,1.0359954537531368e-06,725,increase
2390,a_fortunato,0.0,0.0,723,no change
731,VanderluciaSch1,1.6963104630588302e-05,1.5991079921864865e-05,717,decrease
1175,RLibertyFL,0.0,0.0,716,no change
2384,lporiginalg,0.0,0.0,704,no change
841,CraigAT1181,1.8505205051550876e-06,1.9585857953019702e-06,700,increase
2375,RonaldNHinton,0.0,0.0,687,no change
2372,RichardBoersen,0.0,0.0,682,no change
1166,SusanBearry,0.0,0.0,678,no change
2369,VPrasadMDMPH,0.0,0.0,677,no change
2366,GurinderC,0.0,0.0,673,no change
64,RWMaloneMD,0.0021484543064850567,0.003460038474110123,672,increase
2365,MeowthFan,0.0,0.0,670,no change
2363,ImTracyS,0.0,0.0,666,no change
923,JJMays87,0.0,0.0,654,no change
1210,ubokubi,0.0,0.0,635,no change
2222,av8tore71,0.0,0.0,631,no change
86,Daniel2510G,0.0039490107580009565,0.004910951536990895,630,increase
1973,ella03787321,1.8505205051550876e-06,1.9585857953019702e-06,616,increase
1149,weakthewoke,0.0,0.0,616,no change
2344,NamibiAng,0.0,0.0,614,no change
1370,mtmdphd,3.084200841925146e-07,3.832117680988984e-07,614,increase
2241,ClimateDepot,0.0,0.0,602,no change
1141,PierreKory,0.0,0.0,593,no change
2335,yoamomagallanes,0.0,0.0,586,no change
1137,ErikLoridan,0.0,0.0,584,no change
1130,AnecdotalsMovie,0.0,0.0,565,no change
1326,TheVeronicaT,3.084200841925146e-07,3.832117680988984e-07,564,increase
1462,szdaily1,8.63576235739041e-06,8.351718037257934e-06,564,decrease
1129,Angie_RejoinEU,0.0,0.0,563,no change
1841,SpiritYah,9.252602525775438e-07,1.0359954537531368e-06,561,increase
1797,kawarren818,1.1103123030930525e-05,1.0626872288950189e-05,559,decrease
2164,jeml712,0.0,0.0,558,no change
1127,myolande70,0.0,0.0,558,no change
2325,RedPilledVishal,0.0,0.0,556,no change
752,elonmusk,0.0017024788647426806,0.002562402410173966,555,increase
1124,sanjeevchadha8,0.0,0.0,548,no change
2320,Hkalnin,0.0,0.0,540,no change
2319,BrianFerence1,0.0,0.0,538,no change
1409,DrKatzNYCHH,2.775780757732631e-06,3.659652653463647e-06,534,increase
1410,Honestly4111,0.0,0.0,526,no change
2315,IcahnSinaiID,0.0,0.0,521,no change
2309,cmkittycat,0.0,0.0,505,no change
2305,houmanhemmati,0.0,0.0,493,no change
807,GilbertAveugle,0.0,0.0,492,no change
2301,ClareCraigPath,0.0,0.0,491,no change
949,Haber_Takip01,3.084200841925146e-07,3.832117680988984e-07,484,increase
1396,jonnyital,6.168401683850292e-07,8.459451284469099e-07,482,increase
2293,jimreydaps,0.0,0.0,468,no change
2291,bsaam_r045_10,0.0,0.0,467,no change
1391,the_amish_txtr,3.084200841925146e-07,3.832117680988984e-07,466,increase
1092,TrudeauFor,0.0,0.0,458,no change
2281,Allygeighter,0.0,0.0,456,no change
2191,Mansoor_Ali9,0.0,0.0,453,no change
725,BrandonLesco1,3.084200841925146e-07,3.832117680988984e-07,453,increase
1347,NYCHealthSystem,1.3262063620278128e-05,1.4395051309071455e-05,452,increase
1950,Learningpods1,1.542100420962573e-06,1.924298710273256e-06,446,increase
2282,JamesMelville,0.0,0.0,444,no change
1422,RCDHealthUnit,3.084200841925146e-07,3.832117680988984e-07,430,increase
1846,haber_okuyorum1,8.63576235739041e-06,8.351718037257934e-06,425,decrease
1079,mmsanchez425,0.0,0.0,423,no change
1926,107devorah,8.63576235739041e-06,8.351718037257934e-06,422,decrease
876,FlasterThe,0.0,0.0,407,no change
2261,RVarmaMD,0.0,0.0,404,no change
2260,MarkAnt72,0.0,0.0,403,no change
2258,paratirites,0.0,0.0,398,no change
1070,VJKUTZ,0.0,0.0,393,no change
2257,TrueFactsStated,0.0,0.0,392,no change
460,DDonP3,2.1589405893476024e-06,2.9076828792279852e-06,392,increase
108,CobyJayJr42,0.0019285507864557937,0.003016510985067455,391,increase
578,santa_tzu,0.0,0.0,388,no change
601,Yaocyou,0.0,0.0,386,no change
2253,LAnnaMaria4444,0.0,0.0,384,no change
600,JaneDoe89034155,0.0,0.0,384,no change
2161,OhPleaseBeQuiet,3.084200841925146e-07,3.832117680988984e-07,381,increase
2159,Whataprincess45,0.0,0.0,381,no change
1857,DutchDL,3.084200841925146e-07,3.832117680988984e-07,378,increase
1988,LoveTahoe1,2.0047305472513447e-05,2.010972529421157e-05,377,increase
2250,AgingSC,0.0,0.0,376,no change
593,mimosa_9th_,0.0001246017140137759,0.00016016931315133434,374,increase
2248,ZaidZamanHamid,0.0,0.0,371,no change
1353,ncdhhs,3.084200841925146e-07,3.832117680988984e-07,366,increase
990,2017fan1,0.0,0.0,362,no change
861,angryhacademic,3.084200841925146e-07,3.832117680988984e-07,358,increase
912,dchomecoming,3.084200841925146e-07,3.832117680988984e-07,354,increase
1144,angry_north,0.0,0.0,350,no change
887,JamesfWells,1.542100420962573e-06,2.0902037091653033e-06,349,increase
2239,GoesTooSlow,1.542100420962573e-06,2.0900173348845424e-06,348,increase
2237,lai_dama,0.0,0.0,347,no change
1056,publichealthni,0.0,0.0,341,no change
1878,fuzzyface,8.63576235739041e-06,8.351718037257934e-06,341,decrease
2231,BobsBlitz,0.0,0.0,330,no change
389,sfbtears,0.0,0.0,329,no change
2227,MrHealthnut,0.0,0.0,321,no change
2225,chris_kammy,0.0,0.0,319,no change
1346,SMDhealthunit,9.252602525775438e-07,1.0359954537531368e-06,316,increase
1838,deltazebedee1,4.317881178695205e-06,4.974742983229209e-06,315,increase
375,NoSurrender200,0.0,0.0,315,no change
1348,UKHSA,0.0,0.0,310,no change
1037,thehiddentru,0.0,0.0,302,no change
452,takapirulainen,0.0,0.0,300,no change
763,bobmcgee00123,0.0,0.0,294,no change
1444,HK0wmLRKZq44H85,1.8505205051550876e-06,1.9585857953019702e-06,282,increase
1029,Karl_Lauterbach,0.0,0.0,281,no change
2006,texaspatriette,0.0,0.0,276,no change
1419,AndersonAfDMdEP,0.0,0.0,276,no change
2214,Holotropic100,0.0,0.0,276,no change
2210,rasttin,0.0,0.0,273,no change
942,FMFNavyDoc,0.0004956310752973709,0.0007361678949016645,270,increase
1024,MehmetAli_Kutlu,0.0,0.0,269,no change
1413,JeanAlmond2,0.0,0.0,266,no change
1022,DrCaliff_FDA,0.0,0.0,265,no change
2207,IreeneAlmayda,0.0,0.0,262,no change
1378,Ocugen,9.252602525775438e-07,1.0359954537531368e-06,258,increase
1408,panda66sick,0.0,0.0,258,no change
2203,CarlaGericke,0.0,0.0,256,no change
1018,boss_parody,0.0,0.0,255,no change
2201,juneslater17,0.0,0.0,253,no change
