,to_user_type,from_user_type,to_user_bot_type,from_user_bot_type,canonical_url,date_published,domain,from_user_id,from_user_screen_name,id,is_mention,site_type,title,to_user_id,to_user_screen_name,tweet_created_at,tweet_id,tweet_type,url_id,site_domain,url_raw,original_query,from_user_botscore,to_user_botscore,tweet_url,pub_date
1279,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1322117888006828032,Rac_helz,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1301032977955160066,SaikaTuomi,2021-07-18T16:37:19.000Z,1416799251607212036,retweet,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.3,0.38,https://twitter.com/Rac_helz/status/1416799251607212036,
1280,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1304075518728433665,takapirulainen,2421672.0,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1362324757,rwjdingwall,2021-07-18T16:43:22.000Z,1416800776492625924,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.45,0.19,https://twitter.com/takapirulainen/status/1416800776492625924,
1281,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1304075518728433665,takapirulainen,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1299080060801032203,merja_rantala,2021-07-18T16:43:22.000Z,1416800776492625924,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.45,0.28,https://twitter.com/takapirulainen/status/1416800776492625924,
1282,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1304075518728433665,takapirulainen,2421672.0,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1197819837520711680,DrMikeWGill,2021-07-18T16:43:22.000Z,1416800776492625924,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.45,0.22,https://twitter.com/takapirulainen/status/1416800776492625924,
1283,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,922906069273374721,Teodrose_Fikre,2021-07-27T01:24:55.000Z,1419831129612251138,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.37,https://twitter.com/LoveTahoe1/status/1419831129612251138,
1284,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,257343658,JosieStem,2021-07-27T01:24:55.000Z,1419831129612251138,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.16,https://twitter.com/LoveTahoe1/status/1419831129612251138,
1285,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,18903953,EdwinRankin,2021-07-27T01:24:55.000Z,1419831129612251138,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.27,https://twitter.com/LoveTahoe1/status/1419831129612251138,
1287,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,155700400,eb4prez,2021-07-27T01:24:55.000Z,1419831129612251138,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.26,https://twitter.com/LoveTahoe1/status/1419831129612251138,
1288,bot,human,spammer,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1402614949541777409,JohnSta04243440,2021-07-27T01:24:55.000Z,1419831129612251138,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.76,https://twitter.com/LoveTahoe1/status/1419831129612251138,
1289,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1334134845841215489,joyceacole4,2021-07-27T01:24:55.000Z,1419831129612251138,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.4,https://twitter.com/LoveTahoe1/status/1419831129612251138,
1290,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,728597392031944705,CathySalmons,2021-07-27T00:08:01.000Z,1419811776917540870,retweet,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.41,https://twitter.com/LoveTahoe1/status/1419811776917540870,
1291,bot,human,spammer,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,375721095,Breaking911,2021-07-26T21:43:27.000Z,1419775397902774291,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.71,https://twitter.com/LoveTahoe1/status/1419775397902774291,
1293,bot,human,other,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,233737858,SenRonJohnson,2021-07-26T21:36:37.000Z,1419773677202141203,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.67,https://twitter.com/LoveTahoe1/status/1419773677202141203,
1294,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1169274395623247878,MarvinMeltdown,2021-07-26T21:36:37.000Z,1419773677202141203,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.04,https://twitter.com/LoveTahoe1/status/1419773677202141203,
1295,bot,human,private_account,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1363897489049358338,LoveTahoe1,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1109532876310302721,camus37,2021-07-26T21:35:41.000Z,1419773443722014724,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.38,0.46,https://twitter.com/LoveTahoe1/status/1419773443722014724,
