,monkeypox_wlt
0,-1.3719674771377519e-15
1,-1.3918562936235718e-15
2,-1.1968368611691484e-15
3,-1.0245570405056223e-15
4,-8.888768564727194e-16
5,-8.014309672979696e-16
6,-7.015580783423289e-16
7,-6.289633844913039e-16
8,-6.07758938202947e-16
9,-5.266818199297157e-16
10,-4.59226965734793e-16
11,-4.3931567564267383e-16
12,-3.7967275620422384e-16
13,-6.689305101227715e-05
14,-0.002194627870451077
15,-0.02198165721289509
16,-0.05498089451246503
17,0.007856178512100631
18,0.06234201316068165
19,0.0009039166942648724
20,-0.05439037012551023
21,0.0063201193868318226
22,0.06302709102146775
23,0.021526978898461564
24,-0.0006322111208736936
25,-0.002770307184338244
26,-0.004694593641456366
27,-0.02423162640679989
28,-0.0570058667869794
29,0.006100596516049633
30,0.06289641348877581
31,0.021409369119038783
32,-0.0007380599223542304
33,-0.002798678054658845
34,-0.0025857033002049255
35,-0.0023271329701844163
36,-0.0020944196731659554
37,-0.001951870756861291
38,-0.0038911078057151764
39,-0.02350848915463281
40,-0.056355043260029006
41,0.006686337690305008
42,0.06342358054560557
43,0.021816926419173564
44,-0.002505682476772887
45,-0.02439603048312469
46,-0.05722072350668367
47,0.005907225468315756
48,0.06272237954581529
49,0.021252738570374283
50,-0.0008790274161522733
51,-0.0029255487990770537
52,-0.0026998869701813236
53,-0.002496791324175121
54,-0.004381536316297566
55,-0.023949874814156957
56,-0.05675229035360076
57,0.006328815306090432
58,0.06310181039981251
59,0.02159422633897179
60,-0.000638581475426489
61,-0.004843571576963875
62,-0.024432599599768526
63,-0.057186742660651116
64,0.005870915178733067
65,0.06055527616065077
66,-0.0007041466057628801
67,-0.05583762709553522
68,0.004950695062797543
69,0.05959329195428509
70,-0.0037043565160321743
71,-0.0786112011952787
72,-0.0528104557213592
73,0.047142064867925965
74,0.027237611788193613
75,0.004574915829327564
76,-0.01588840358466385
77,-0.03162423394367722
78,0.04627006538936257
79,0.026452812257486406
80,0.023808195330168168
81,0.03668584403796421
82,-0.03957886358310302
83,0.001711514219037237
84,0.05681181529692458
85,0.015866337695360763
86,-0.005726788203664483
87,-0.007288533507838039
88,-0.0066265732080661305
89,-0.00603080893827147
90,-0.007562152168984327
91,-0.026812429081575002
92,-0.059328589194277005
93,0.004010146349481748
94,0.06101500833886467
95,0.019716104484118757
96,-0.0022619980937822574
97,-0.004170222408944062
98,-0.0038200932190615784
99,-0.0034380838971554075
100,-0.0031611685584518033
101,-0.004979475827146623
102,-0.024488020373921057
103,-0.057236621357388426
104,0.0058929174026814135
105,0.06270950228674435
106,0.021241149037210506
107,-0.0008894579959996644
108,-0.0029349363209397075
109,-0.0027083357398576787
110,-0.002504395216883851
111,-0.004388379819735475
112,-0.023956033967251062
113,-0.056757833591385434
114,0.006323826392084168
115,0.06309732037720686
116,0.021590185318626734
117,-0.000575325342725086
118,-0.0026522169329925758
119,-0.0024538882907052663
120,-0.002208499461634771
121,-0.002054542566483204
122,-0.00398351243437489
123,-0.02359165332042652
124,-0.056429891009243296
125,0.006618974716012083
126,0.06336295386874191
127,0.021829255461008272
128,-0.0003601622145816691
129,-0.0024585701176635176
130,-0.002279606156909098
131,-0.002118538592230151
132,-0.004041108857547143
133,-0.023643490101281528
134,-0.05647654411201282
135,0.006510093872507651
136,0.061130536985047945
137,-0.0001864118638054968
138,-0.05537166582777358
139,0.005436953254794874
140,0.06223224150263459
141,0.02081161433151167
142,-0.0012760392311286263
143,-0.0032828594325558106
144,-0.0030214665403121748
145,-0.0027193198862809367
146,-0.0024473878976528167
147,-0.0022026491078875406
148,-0.0019823841970988405
149,-0.0017841457773889857
150,-0.0016057311996500445
151,-0.0015120511306969293
152,-0.003495270142167231
153,-0.023219128308451614
154,-0.058229042623005996
155,-0.015006753865863441
156,0.008635502073182614
157,0.027846001344796048
158,0.042454293575669266
159,-0.03438725899916862
160,0.00418264116902637
161,0.03689491329788569
162,-0.05732966230513487
163,-0.051529138725178905
164,0.046227719090960115
165,0.026414700588924214
166,0.005968719874525047
167,0.005439405236515157
168,0.024902621140783485
169,0.05974485047053508
170,0.01643853827808195
171,-0.005278700730227303
172,-0.006885254781744517
173,-0.006263622354582011
174,-0.005637260119123856
175,-0.005073534107211422
176,-0.004566180696490245
177,-0.004109562626841221
178,-0.0036986063641570865
179,-0.0033287457277414237
180,-0.0029958711549673217
181,-0.0026962840394705633
182,-0.002426655635523452
183,-0.002183990071971143
184,-0.0019655910647741006
185,-0.0018359250093086142
186,-0.0037867566329177343
187,-0.023414573099115054
188,-0.056270518810062994
189,0.006762409695274356
190,0.06349204535007798
191,0.021945437794210723
192,-0.0003224911657114353
193,-0.0045590902982203035
194,-0.024176566448899293
195,-0.056956312824868835
196,0.006145195081949044
197,0.06286965914707326
198,0.019250866086966544
199,-0.02268720478070837
200,-0.05775031144803704
201,0.005296810219073925
