,PSD
0,6678.114138905515
1,34391.11078871023
2,55584.95435676883
3,15695.216289849195
4,22004.31413477727
5,20523.93841019097
6,7178.991311078952
7,7639.845337595433
8,5621.834456316425
9,9339.965065944869
10,4182.474728255365
11,14764.007781975915
12,10343.298794671417
13,2985.3828033811233
14,4234.819399864946
15,4482.327585229479
16,6741.056429320689
17,3334.563512372539
18,6553.774384474806
19,11289.691548698847
20,8292.24651750342
21,8733.942004897332
22,15890.404820856797
23,33553.08990087158
24,19905.13046594934
25,6602.64027902689
26,6762.137088133547
27,2987.660129183719
28,4547.582399411219
29,2033.1284234795603
30,2220.2738626486707
31,2642.6529730171683
32,2494.9899779557413
33,1291.7210183074221
34,1928.0781151998788
35,2790.245924719455
36,902.4990603543858
37,616.3855470034158
38,1653.632551170099
39,3025.6436952698123
40,1990.8420100833098
41,1505.054220093662
42,2141.5687519905496
43,2123.4013996294802
44,2511.009350843615
45,4083.5297426803277
46,5780.242110019499
47,4443.021394271013
48,2138.6150980301486
49,1561.0516336430985
50,1230.528897235918
51,1440.3510179218697
52,1929.7787717537572
53,1185.5539089286488
54,608.9804808337848
55,491.33497221651993
56,208.97038301578507
57,1043.4179031312237
58,1342.5217000935147
59,738.078630357583
60,1184.9447470746147
61,898.1437280298829
62,635.4947068118082
63,804.3257409745364
64,583.7384453979869
65,1508.8096299362776
66,1783.8977277786757
67,2116.4584312570187
68,2720.405770929749
69,2009.776330911884
70,2310.1278316821317
71,2217.8325211266815
72,1508.8687191656745
73,857.5436624481729
74,875.2365888358229
75,737.7597876739594
76,996.3231747704399
77,510.4962537601854
78,255.83653199609606
79,269.7139086758743
80,524.1061281400996
81,473.86912020407044
82,339.44881791038466
83,619.6581804954335
84,859.8774270085239
85,721.5871488283406
86,332.55565634253
87,281.4132178771775
88,589.8984066666386
89,729.4604540266097
90,882.6098571005851
91,900.4961414752884
92,802.3420553521439
93,1077.6270725333934
94,366.56380450248093
95,727.9328240232275
96,503.63807592033913
97,597.6785077750858
98,343.0174048761752
99,400.8159087093261
100,213.72097256605315
101,156.1828080433296
102,154.39156847243055
103,221.63273783963862
104,219.88986689169838
105,258.46858940465165
106,604.0370548248914
107,449.8041503435126
108,584.2810497802535
109,406.41207531382844
110,376.1655542563305
111,331.01806568709236
112,809.7567227296682
113,720.3077646736194
114,772.3021309382132
115,367.6364850220351
116,700.8586609115583
117,311.70917287434213
118,275.7915669084406
119,371.6928267101641
120,463.37882128946393
121,276.0928505449777
122,262.5209859295197
123,160.2979061163239
124,94.34647365990935
125,83.23303600505749
126,98.8641433671486
127,136.54664620015194
128,133.85961062424857
129,86.81908797992749
130,230.15166131733014
131,264.6338545229125
132,341.8552342259579
133,261.3668436151868
134,163.5920566004649
135,352.22506444524123
