,network_energy_and_bot_energy
305,1.393398202289984e-13
306,1.3933982022899842e-13
307,1.3933982022899847e-13
308,1.3933982022899847e-13
309,1.393398202289985e-13
310,1.3933982022899852e-13
311,1.393398202289986e-13
312,1.3933982022899867e-13
313,1.3933982022899867e-13
314,1.3933982022899867e-13
315,1.3933982022899867e-13
316,1.393398202289987e-13
317,1.3933982022899872e-13
318,1.3933982022899874e-13
319,1.3933982022899874e-13
320,1.3933982022899874e-13
321,1.393398202289988e-13
322,1.393398202289988e-13
323,1.393398202289988e-13
324,1.3933982022899885e-13
325,1.3933982022899885e-13
326,1.3933982022899887e-13
327,1.3933982022899887e-13
328,1.3933982022899887e-13
329,1.39339820228999e-13
330,1.3933982022899915e-13
331,1.3933982022899915e-13
332,1.3933982022899917e-13
333,1.3933982022899925e-13
334,1.3933982022899927e-13
335,1.3933982022899927e-13
336,1.3933982022899927e-13
337,1.3933982022899927e-13
338,1.3933982022899935e-13
339,1.3933982022899935e-13
340,1.3933982022899935e-13
341,1.3933982022899935e-13
342,1.3933982022899938e-13
343,1.3933982022899938e-13
344,1.3933982022899938e-13
345,1.3933982022899938e-13
346,1.3933982022899938e-13
347,1.3933982022899938e-13
348,1.3933982022899943e-13
349,1.3933982022899948e-13
350,1.393398202289996e-13
351,1.393398202289996e-13
352,1.393398202289996e-13
353,1.393398202289996e-13
354,1.3933982022899968e-13
355,1.3933982022899978e-13
356,1.393398202290001e-13
357,1.3933982022900039e-13
358,2.786796404579946e-13
359,2.7867964045799497e-13
360,2.786796404579954e-13
361,2.7867964045799547e-13
362,2.7867964045799547e-13
363,2.7867964045799557e-13
364,2.7867964045799557e-13
365,2.786796404579956e-13
366,2.786796404579956e-13
367,2.7867964045799567e-13
368,2.7867964045799587e-13
369,2.7867964045799613e-13
370,2.7867964045799623e-13
371,2.7867964045799633e-13
372,2.7867964045799653e-13
373,2.7867964045799653e-13
374,2.7867964045799653e-13
375,2.786796404579967e-13
376,2.786796404579967e-13
377,2.786796404579967e-13
378,2.786796404579967e-13
379,2.786796404579967e-13
380,2.786796404579967e-13
381,2.7867964045799673e-13
382,2.7867964045799673e-13
383,2.7867964045799673e-13
384,2.7867964045799673e-13
385,2.7867964045799673e-13
386,2.786796404579968e-13
387,2.7867964045799683e-13
388,2.7867964045799683e-13
389,2.7867964045799683e-13
390,2.7867964045799683e-13
391,2.7867964045799693e-13
392,2.7867964045799693e-13
393,2.7867964045799693e-13
394,2.7867964045799693e-13
395,2.7867964045799714e-13
396,2.7867964045799714e-13
397,2.7867964045799784e-13
398,2.786796404579987e-13
399,2.7867964045799875e-13
400,2.7867964045799885e-13
401,2.7867964045799936e-13
402,2.7867964045799956e-13
403,2.7867964045800087e-13
404,4.1801946068699207e-13
405,4.1801946068699273e-13
406,4.180194606869928e-13
407,4.1801946068699353e-13
408,4.180194606869937e-13
409,4.1801946068699404e-13
410,4.1801946068699434e-13
411,4.180194606869946e-13
412,4.180194606869946e-13
413,4.180194606869947e-13
414,4.1801946068699505e-13
415,4.180194606869951e-13
416,5.573592809159886e-13
417,5.573592809159887e-13
418,5.573592809159888e-13
419,5.573592809159891e-13
420,5.573592809159893e-13
421,5.573592809159894e-13
422,5.573592809159894e-13
423,5.573592809159896e-13
424,5.573592809159898e-13
425,5.573592809159898e-13
426,5.573592809159899e-13
427,5.5735928091599e-13
428,5.57359280915991e-13
429,5.573592809159916e-13
430,5.573592809159918e-13
431,5.57359280915992e-13
432,5.57359280915992e-13
433,5.573592809159925e-13
434,5.573592809159925e-13
435,5.573592809159927e-13
436,5.573592809159935e-13
437,5.573592809159943e-13
438,6.96699101144987e-13
439,6.966991011449871e-13
440,6.966991011449875e-13
441,6.966991011449877e-13
442,6.966991011449877e-13
443,6.966991011449879e-13
444,6.966991011449881e-13
445,6.966991011449882e-13
446,8.360389213739849e-13
447,8.360389213739855e-13
448,8.360389213739856e-13
449,8.36038921373986e-13
450,8.360389213739864e-13
451,8.36038921373988e-13
452,1.1147185618319817e-12
453,1.1147185618319829e-12
454,1.1147185618319829e-12
455,1.114718561831985e-12
456,1.2540583820609804e-12
457,1.2540583820609806e-12
458,1.2540583820609808e-12
459,1.2540583820609808e-12
460,1.2540583820609814e-12
461,1.2540583820609832e-12
462,1.3933982022899793e-12
463,1.3933982022899795e-12
464,1.5327380225189766e-12
465,1.5327380225189766e-12
466,1.532738022518977e-12
467,1.5327380225189772e-12
468,1.5327380225189774e-12
469,1.5327380225189776e-12
470,1.532738022518978e-12
471,1.532738022518978e-12
472,1.5327380225189784e-12
473,1.5327380225189793e-12
474,1.6720778427479743e-12
475,1.6720778427479743e-12
476,1.672077842747975e-12
477,1.6720778427479753e-12
478,1.6720778427479753e-12
479,1.6720778427479757e-12
480,1.6720778427479762e-12
481,1.6720778427479762e-12
482,1.9507574832059724e-12
483,1.9507574832059744e-12
484,0.0032211111592136757
485,0.0033791588900795497
486,0.0036749980121845768
487,0.003836078063246126
488,0.0038851589898681645
489,0.0039997487822972435
490,0.0041867791140954985
491,0.004322821579125889
492,0.004357954200478093
493,0.0045939129276568545
494,0.004680666333436241
495,0.004811002041719871
496,0.004844065895011437
497,0.0049408648780230055
498,0.005224414185911219
499,0.013570556316625
500,0.013613405538291367
501,0.01441357010943296
502,0.014761128016733696
503,0.01538152057247625
504,0.01550442500465958
505,0.0164678725312577
506,0.016566550203705906
507,0.016649934892917433
508,0.016678590043164146
509,0.01678439786680602
510,0.016790594051106802
511,0.016831989311871947
512,0.01693572435429524
513,0.01695429585677663
514,0.017117247224177245
515,0.01727910525530244
516,0.017283887986449777
517,0.017339760098168074
518,0.017389732200617392
519,0.017474919987517316
520,0.01747751698200139
521,0.017554898089261042
522,0.01766408127398926
523,0.017664350043239754
524,0.01767451394735183
525,0.01777170426087962
526,0.017777839500578915
527,0.017787051687498726
528,0.01782371929487841
529,0.017831364189702808
530,0.017959507473982613
531,0.01798666933873241
532,0.0180073974648102
533,0.018053172407494406
534,0.01807645240369989
535,0.018083345048544048
536,0.01811300767393919
537,0.01811887474480189
538,0.018134334925631053
539,0.018151842281262157
540,0.01844346658443121
541,0.01845465418528388
542,0.01846439896402956
543,0.018473142286497247
544,0.018499881514898887
545,0.018506566016090218
546,0.01851354315710068
547,0.0185596627333021
548,0.018603841034171637
549,0.01860445413593871
550,0.01862198881466167
551,0.018641962251361457
552,0.0186475141412415
553,0.018828365194462057
554,0.018832856543033016
555,0.018852379466459793
556,0.018852845902394458
557,0.018861380414706117
558,0.018868032039657413
559,0.018984744778087224
560,0.019053638876244998
561,0.019058607923096407
562,0.019075093666266196
563,0.019137637372769682
564,0.019194470358383127
565,0.01920541565384011
566,0.019222554167357523
567,0.019238558689879857
568,0.019263876747559947
569,0.01927004837837661
570,0.01932644037230047
571,0.01933706852021259
572,0.019352557629265143
573,0.019366339151012855
574,0.019387685828476494
575,0.019407715006801968
576,0.019414357911982594
577,0.019487327728294285
578,0.019537385128337203
579,0.019652362733665364
580,0.01977212727382466
581,0.019791175208410495
582,0.01979989970303911
583,0.019824183873319176
584,0.019835917126369364
585,0.019851133587712236
586,0.019875608283657167
587,0.019880310552179113
588,0.019890690464552798
589,0.019893362141017043
590,0.019920607570842706
591,0.019989751558643375
592,0.019998122464763714
593,0.020006204858537647
594,0.020023480059659985
595,0.02004609513520782
596,0.02008403678713097
597,0.020084294706099175
598,0.020115737866994277
599,0.02013202547539657
600,0.02014779269514463
601,0.020173620428584737
602,0.020174445188863147
603,0.020188184232979207
604,0.020188403246340685
605,0.020192239922094134
606,0.02030924927868292
607,0.020338417357065333
608,0.020390397556581636
609,0.0204243381392917
610,0.020439579011660915
611,0.020441646878974675
612,0.020486059984633775
613,0.020490919129139418
614,0.02049187541775772
615,0.020496688006201486
616,0.020523708496333642
617,0.020529752871374807
618,0.020532677081445946
619,0.020533540522890355
620,0.020554389972194026
621,0.020617781221309105
622,0.02065630720030123
623,0.020672553537376948
624,0.020672878480787114
625,0.020679611579114732
626,0.020691032528544834
627,0.020695389386919734
628,0.02074199988453245
629,0.020745464790024714
630,0.02076082877137515
631,0.020784589748294297
632,0.020792080294999366
633,0.020806945822978238
634,0.02086687484863812
635,0.020899320633536906
636,0.020950980464878817
637,0.020956987307103235
638,0.020977225117460647
639,0.02098368613984907
640,0.02101792553896913
641,0.021026824407092692
642,0.02104114904552446
643,0.021044909844484167
644,0.021047893461811792
645,0.021089734023858796
646,0.021134681237213217
647,0.02114108503486286
648,0.021214559565364572
649,0.021223043700250584
650,0.021229917206417523
651,0.02124619478758897
652,0.02127958504148835
653,0.021280900955434816
654,0.021308887483484567
655,0.02131507387631466
656,0.021336382140469512
657,0.021346411007592284
658,0.021347958197893965
659,0.02138319148839103
660,0.02141039964678431
661,0.02141303396461707
662,0.021429816947558303
663,0.02146057471086349
664,0.02148719752149294
665,0.021494129390970416
666,0.02149895815072391
667,0.021517975261378067
668,0.02154941321259713
669,0.021557930394864335
670,0.02156074545996271
671,0.02159825101219429
672,0.021603143001563768
673,0.021618491859195756
674,0.021631664549334136
675,0.02163283085162718
676,0.021659450697218682
677,0.021664605201462316
678,0.021684083808317944
679,0.021690166511132754
680,0.021740517060720364
681,0.02174596403868062
682,0.021746851924688365
683,0.021792573054112682
684,0.02181152304050504
685,0.021829841666994712
686,0.021875730537990464
687,0.02188785118925639
688,0.021906098914626446
689,0.021929854902018188
690,0.021946869290535055
691,0.021949938541679318
692,0.02196756065739261
693,0.021969587204337
694,0.02203909357738507
695,0.022059930650407317
696,0.022061056182046863
697,0.022073847243306136
698,0.02214445429233355
699,0.022155992607065626
700,0.022175321126142376
701,0.02219500735744855
702,0.022200715592517503
703,0.022299200130761487
704,0.022309382053603496
705,0.022310003948430874
706,0.022323894709332017
707,0.02233800290315585
708,0.02234310360595785
709,0.022352174007159557
710,0.02236145826133794
711,0.022380870714638717
712,0.022419490624751313
713,0.02242749285109026
714,0.022435852695720283
715,0.022453239291226567
716,0.022490692041153244
717,0.022495308870363113
718,0.02252704185110711
719,0.0225424547777989
720,0.02255315298996764
721,0.022583031046034426
722,0.022621320485407142
723,0.022656656610513186
724,0.02266080303804369
725,0.022664807259420133
726,0.02267224843688405
727,0.022682550710749642
728,0.022731997581423833
729,0.022732272091754338
730,0.022760897296151873
731,0.02276434548464586
732,0.02277422225446562
733,0.02280400442906135
734,0.022817542272182332
735,0.022842632480295298
736,0.022844167330367742
737,0.022858789723584978
738,0.02286117248915104
739,0.022875235485009998
740,0.02290624767126398
741,0.022927890818773
742,0.022947158746882964
743,0.02296554934344091
744,0.02296799137499671
745,0.02297843611346358
746,0.022994575942980048
747,0.02301875597248248
748,0.02303500411520439
749,0.02305528089780881
750,0.023121114716672705
751,0.02312488387273744
752,0.023193673653676194
753,0.023204606619079086
754,0.023213192862197807
755,0.023233563513014772
756,0.023254452757165783
757,0.023269636144983608
758,0.02329715527526322
759,0.023300095150310174
760,0.023309037030804353
761,0.023312842166395176
762,0.02333506572439259
763,0.02335552313400135
764,0.023370953670784362
765,0.023372450546073165
766,0.023402595185831754
767,0.023408075524051667
768,0.023412791887711035
769,0.023456252970205236
770,0.023470313015534292
771,0.023481176725928317
772,0.0234886251860137
773,0.023498621805239133
774,0.02353373945029918
775,0.023557725679512684
776,0.023571479230650325
777,0.023620826734983884
778,0.023634853188048977
779,0.02365391749873641
780,0.023689731375954624
781,0.023722306378514132
782,0.02374153621796538
783,0.023774898093302504
784,0.023780583389826165
785,0.02379118087284835
786,0.02379456014553933
787,0.023809705335136783
788,0.023829670321818135
789,0.023834519515507507
790,0.023836597896273664
791,0.02385262665501585
792,0.02387238407197958
793,0.023880865650880125
794,0.023891068052804422
795,0.023892066183484457
796,0.02390097383197595
797,0.023906113335795225
798,0.02391722943289829
799,0.023921076474244803
800,0.023950748146386015
801,0.02401819315037269
802,0.024030829967355696
803,0.024044281510860268
804,0.024044917908009264
805,0.024046467530909655
806,0.0240531282818732
807,0.024097754983980178
808,0.024097772482859773
809,0.024121508161838515
810,0.024143381082960772
811,0.02415333162827052
812,0.024222859044131802
813,0.02422762177830592
814,0.0242409247018039
815,0.024275138614961837
816,0.024296188359621978
817,0.02430000519659733
818,0.02430465663697568
819,0.024307755540800224
820,0.024315878852796926
821,0.024337709388424927
822,0.02434668669669994
823,0.02434824215383511
824,0.024378119633244214
825,0.024384716650336764
826,0.024387175617076533
827,0.024393499746591746
828,0.0244182767271895
829,0.024420397827681767
830,0.024427145738437597
831,0.02443114854709635
832,0.024434321306292115
833,0.024436599016405432
834,0.024443433183793942
835,0.024450448712698924
836,0.024459673596014628
837,0.02448976475956297
838,0.02452610660260639
839,0.024529561349762797
840,0.024613777248842086
841,0.024616770810438903
842,0.024639151407924553
843,0.024666856454128652
844,0.02467900707776733
845,0.024687647412592634
846,0.024691964496237576
847,0.02470171074759383
848,0.0247044970856961
849,0.024716552118603942
850,0.024737507187522365
851,0.02473866083409359
852,0.024758336765052125
853,0.024765403617847504
854,0.024822336054740563
855,0.02482297196237032
856,0.024833527821677318
857,0.024872775318479975
858,0.024879879577730246
859,0.024893492455982085
860,0.024908258148643777
861,0.02490925507559062
862,0.024909989641278683
863,0.024921335074066433
864,0.024928350539407052
865,0.024968767449064296
866,0.0250017474516303
867,0.02503299339572256
868,0.025036353066099682
869,0.025040611208409353
870,0.02505558474566382
871,0.02511527710113036
872,0.025139401384076946
873,0.025141558764248062
874,0.02515638136088315
875,0.025174052445652174
876,0.02520386679064473
877,0.025229748970928292
878,0.02524519367846391
879,0.02527031038552714
880,0.025310136236298818
881,0.025345854325645498
882,0.025367905567253362
883,0.025373169911762937
884,0.025385725833751784
885,0.02539467390101365
886,0.025429764234056212
887,0.025434252983492178
888,0.025467609197379445
889,0.025476199340339154
890,0.02548081916869985
891,0.025492030188869946
892,0.025498790943491514
893,0.02551226176263963
894,0.025512640283187633
895,0.025527325949967893
896,0.02553457539576515
897,0.0255347634013719
898,0.02554117585677267
899,0.0255421344517564
900,0.02554467306637108
901,0.025562407835610125
902,0.025594998571310177
903,0.025613706783888045
904,0.025632073863060784
905,0.02563700026889265
906,0.0256480329922639
907,0.02565334109115236
908,0.025658101693386674
909,0.02567357058344846
910,0.025709619025336132
911,0.02571227183397734
912,0.02577761345905785
913,0.02579302237241409
914,0.025813530236853493
915,0.025819087717093885
916,0.025832229624291683
917,0.0258424967832595
918,0.025870818857937534
919,0.02588719143405581
920,0.025911646918918813
921,0.025921492417256164
922,0.02592629627529987
923,0.025931785755683338
924,0.025965739356689284
925,0.025985413373968973
926,0.02599614107886059
927,0.02599872141316637
928,0.02601031934567633
929,0.02603893322745375
930,0.02607379290220708
931,0.026113976568271708
932,0.02613662454482997
933,0.02616262304547109
934,0.02616328130332017
935,0.02619481380086986
936,0.026206770648000036
937,0.02620911184517803
938,0.026212134048952784
939,0.02621831682944648
940,0.0262480079731935
941,0.026248096345911198
942,0.026278275091994895
943,0.02628972446288204
944,0.02629137293128372
945,0.026329219067588252
946,0.02635918293871596
947,0.026370115552168276
948,0.02637838942558239
949,0.02638766673556124
950,0.026400965112562923
951,0.026405401940560673
952,0.026417064060136067
953,0.02642174004826904
954,0.026438000621341898
955,0.026496504663369752
956,0.026523414661991544
957,0.026542746762409232
958,0.02654929430313827
959,0.02655732619419798
960,0.026562625809863655
961,0.026565660980255326
962,0.026572173742096472
963,0.02657453313090034
964,0.026591543716410433
965,0.02659787711267869
966,0.026605048604476083
967,0.026628726373820362
968,0.026629389019862632
969,0.02663613532216837
970,0.026639098929173936
971,0.026652112288768143
972,0.026663628785585668
973,0.02668721520148733
974,0.026734262628531992
975,0.026741508238928548
976,0.02676969372619379
977,0.026779364183272023
978,0.02680395797082527
979,0.02680826892089947
980,0.026826511432368184
981,0.0268291304252995
982,0.026862631152716157
983,0.026867398456102698
984,0.02688082327599674
985,0.02689673860574208
986,0.0269525335995883
987,0.02697572140608202
988,0.02702629760757192
989,0.0270393874272556
990,0.027043356664237385
991,0.02704458395732709
992,0.027045599280724544
993,0.027050014119846113
994,0.027059545742046127
995,0.027061778032558426
996,0.02707592853598469
997,0.027095319836968258
998,0.027103435694256654
999,0.02711205308089723
1000,0.027139058746303
1001,0.027163085495325864
1002,0.027206802885047433
1003,0.02722479646433297
1004,0.02722605990806445
1005,0.027230493734192958
1006,0.027231714130106287
1007,0.027242671186373548
1008,0.02725068666714431
1009,0.027254412748945196
1010,0.027264106181983726
1011,0.027276222757169052
1012,0.027286592255292057
1013,0.02729118712788901
1014,0.027298119909901226
1015,0.02730935376328581
1016,0.027338262006976234
1017,0.02735766762838342
1018,0.027358755152582053
1019,0.027363973540812082
1020,0.027386057361724062
1021,0.02739310663879348
1022,0.02740932390041155
1023,0.0274157460593021
1024,0.027439461821286693
1025,0.02747428382465552
1026,0.027488731962382763
1027,0.02750367899094715
1028,0.02754683516418519
1029,0.02756807002975567
1030,0.027569201401931052
1031,0.027571899456556668
1032,0.027591134662709172
1033,0.02760335129733402
1034,0.027604104235858774
1035,0.027607730778772644
1036,0.027609556490306143
1037,0.027611761001810082
1038,0.027696707195418665
1039,0.027700317857670406
1040,0.027733242027742248
1041,0.027742051504982154
1042,0.027743674447693982
1043,0.027753663567719567
1044,0.027757172310960664
1045,0.027765766022321788
1046,0.027784626013341432
1047,0.027790088060453765
1048,0.027790872701191384
1049,0.0278066700623597
1050,0.027839335842357465
1051,0.0278688867582537
1052,0.027872571940992498
1053,0.02787926034353897
1054,0.027891427382886524
1055,0.02791169205818287
1056,0.027920812459266697
1057,0.027923127180669693
1058,0.02792691617779915
1059,0.02792993821901665
1060,0.02796173930798182
1061,0.027985423027811283
1062,0.028009417656022523
1063,0.028019021109433027
1064,0.028039891795191268
1065,0.028052980478832746
1066,0.028063568154772248
1067,0.02807807031991676
1068,0.028085182260573015
1069,0.028085576310758847
1070,0.02813988171117211
1071,0.028163879347796284
1072,0.028183145882914488
1073,0.028235312246536658
1074,0.028273143968666824
1075,0.028293056201242197
1076,0.028293990357907344
1077,0.028318918713342127
1078,0.028323673364318715
1079,0.02834141765247179
1080,0.02836017900353207
1081,0.028366095458901387
1082,0.02836789496925183
1083,0.02837931798529178
1084,0.028391709495990212
1085,0.028404601762608412
1086,0.028419873561150194
1087,0.028452302404359774
1088,0.02848639216115707
1089,0.02849923726867671
1090,0.028506814636039605
1091,0.028510839657018863
1092,0.028524289055798683
1093,0.028525043948065903
1094,0.028531438333455034
1095,0.02857293158536784
1096,0.028583938779361252
1097,0.028598189827631366
1098,0.028617014135892755
1099,0.028629279482513943
1100,0.02864257642602997
1101,0.028661902677993456
1102,0.02866911957871101
1103,0.028673390057274768
1104,0.028693842777429417
1105,0.02869519566420354
1106,0.028726669621191796
1107,0.028731106298453442
1108,0.02874468431104362
1109,0.028757248558193647
1110,0.0287653712961652
1111,0.028773037344219248
1112,0.028791458820840516
1113,0.028791576799581883
1114,0.0288093382605217
1115,0.028811567847110572
1116,0.028820339280390395
1117,0.028824580139349288
1118,0.028834580016071774
1119,0.02885939400156382
1120,0.028885777147618766
1121,0.028887603937180952
1122,0.02888805432501302
1123,0.028907392489206814
1124,0.028930122343495658
1125,0.028934980037604367
1126,0.02895652881811366
1127,0.028960883092245683
1128,0.02896304799994853
1129,0.028986990342682806
1130,0.028993217562892453
1131,0.029007408571343013
1132,0.029008717191139156
1133,0.02901351695857514
