,PSD
0,13145.830226523707
1,73200.47356923799
2,78392.58257905085
3,32472.727969225118
4,41707.53543030844
5,15879.136273007098
6,13335.622973253725
7,10012.002104282954
8,7033.385901530569
9,4647.3619539808515
10,3124.9115611782004
11,6202.232507483652
12,6354.9209506460165
13,4237.170236021555
14,4583.614922218278
15,3324.4166261200517
16,3997.6738533009693
17,5177.951565810381
18,5179.057350652229
19,9157.480376142912
20,13101.049974082393
21,16242.73467709999
22,11881.06109314256
23,10502.325796530766
24,19404.2734576051
25,14647.282581114081
26,11181.082649019754
27,5165.544385932817
28,2905.6399367512086
29,3948.580104056681
30,2759.636453553072
31,2051.405898045254
32,1048.6321866275111
33,1647.8569547718369
34,2044.0088219666895
35,1743.5563799867793
36,1350.3401686207856
37,1893.975855744436
38,2776.500901779505
39,1914.3426921550492
40,1321.6727117825606
41,1563.6842274865874
42,1701.9791623644833
43,3988.19747893663
44,2026.918289450445
45,5049.117571170763
46,3710.361892504201
47,6801.929146887474
48,2979.9268497006883
49,2511.8310479368233
50,1832.00685226638
51,1020.7958594542821
52,1998.1029530360881
53,946.312775478446
54,1131.2916353354576
55,748.8209402198847
56,477.4439487705621
57,758.8717811284372
58,534.4689549588595
59,303.60664264649944
60,592.5377934477623
61,1199.533629264458
62,740.011254035939
63,492.1267270385238
64,754.4267101617153
65,909.3346448301763
66,1192.6723626645341
67,1752.4513188362523
68,1573.5921753741823
69,1452.3726597074738
70,2293.8354471032826
71,1820.6795818568178
72,1103.1153205836463
73,1010.0947654097989
74,729.2196568504165
75,503.3450354555882
76,343.39219981328836
77,576.4399618523214
78,267.95053674381023
79,204.2539907755008
80,354.1186113518852
81,326.68812739574514
82,234.17424260728959
83,367.94534051475057
84,482.2018489582753
85,798.392812123558
86,443.89145409992955
87,853.7545965885474
88,864.5076633914417
89,957.3445613793014
90,1047.2272927098402
91,1341.8304432204948
92,881.2436824766198
93,1674.8582604881065
94,1238.6556124286653
95,858.8680286391734
96,724.8317091789102
97,557.9995504298348
98,418.2248918977161
99,543.8118462136554
100,428.20647021245844
101,236.05268495646158
102,140.0266035381101
103,177.36596752587147
104,184.6336151075848
105,234.99335854586587
106,130.3824711119884
107,403.06502034710695
108,381.5197278604946
109,259.8035857867403
110,358.2886875615386
111,339.66445671757623
112,472.81727979908817
113,438.3554102243342
114,407.15581576479445
115,401.63830805532376
116,603.0009381301018
117,370.6454384837868
118,485.42618322427336
119,593.6924663780808
120,353.5464815674531
121,224.1181704766234
122,368.5171151037771
123,259.7117808313344
124,122.36438059643318
125,195.0142104396856
126,105.56309556175435
127,107.59268537260121
128,167.6053679190704
129,176.9863745742471
130,289.6298390337872
131,222.8216104459974
132,212.12268144968326
133,207.26562081494203
134,218.2467899989446
135,161.530206527037
136,164.34622841573932
137,188.3620358661752
138,88.33904401366625
139,257.2947714317326
140,163.55350931122206
141,210.25985275022578
142,168.30716234147812
143,146.08788776298783
144,117.5494898886959
145,173.33047386910854
146,101.72789878990983
147,90.2124024696968
148,68.30177926956652
149,123.20295905074374
150,130.49087248100028
151,162.31560684514142
152,176.46574567225244
153,186.2042334557113
154,140.41371245536726
155,226.46768952790418
156,242.08164788284424
157,200.33856017844244
158,314.27267686554563
159,487.8592905995272
160,379.1169264994318
161,154.8000004757327
162,178.53239624226526
163,288.70609297775525
164,254.5740725163328
165,192.45679304191987
166,134.84908536858276
167,137.37570292082557
168,133.7720209350425
169,101.13787201980017
170,124.55345676513159
171,75.1450897322762
172,40.18059634515793
173,70.86708677090212
174,42.33041328609455
175,111.40512884478999
176,89.65028315481692
177,154.8364004605907
178,125.81554806356024
179,235.78498606067177
180,203.7847440375285
181,177.6890661937624
182,346.7655635778503
183,382.29760036885045
184,438.34018974524804
185,395.5779820027872
186,430.70629468626896
187,134.08863862972865
188,169.2046936148595
189,168.91115275148496
190,238.01902860902266
191,162.45639172624422
192,139.934518700559
193,55.87177535702061
194,61.960227036350055
195,72.7291705765652
196,38.885854319524256
197,56.65293451903381
198,89.10261609492092
199,89.91925082624877
200,159.33214045920678
201,118.855609102606
202,106.6965999952013
203,206.15878254316115
204,218.26034089608754
205,196.49081386495652
206,166.0836283057368
207,459.8534695286559
208,200.39127167154268
209,109.10436173238739
210,176.56820738442414
211,135.9396156414838
212,115.28729822476909
213,59.304177974046816
214,81.66758389009433
215,80.90520800877901
216,62.791596236454176
217,50.5250624411013
218,25.45802078407716
219,55.30542129244102
220,89.40564043551153
221,94.25157928849923
222,112.86399122934056
223,88.35729913550126
224,66.99203715018493
225,74.23105957603569
226,144.1199775241434
227,267.3618299525375
228,250.49089644965676
229,99.22927673562897
230,110.99687663171905
231,229.59447555403003
232,185.03353576318278
233,141.91633644332404
234,138.29123457628336
235,106.11948500446914
236,73.08442266245076
237,69.97948128453586
238,52.97434638854498
239,76.19827727636996
240,70.20321080555695
241,77.71124257551008
242,53.64341766999926
243,75.66564823497922
244,120.69196166398366
245,88.49199250359209
246,104.89244295245504
247,57.59088331071663
248,115.26177087352686
249,85.98928005719178
250,132.3777494382187
251,174.97287467279386
252,207.34560322331546
253,135.30482768932052
254,73.55486651774872
255,49.04806852722474
256,59.51932736155249
257,62.86667396168559
258,78.14180856049131
259,74.47048051168818
260,52.87980001741645
261,74.4554895448179
262,31.07366014491457
263,38.57530648377109
264,30.68436495553832
265,54.171702004583885
266,77.54445249844544
267,91.3843018204117
268,69.15923665674231
269,85.57422997846945
270,66.52485733380665
271,77.24249691112675
272,111.52478483060183
273,174.6665968318232
274,142.30527996815505
275,52.47567353364571
276,222.9400676942717
277,201.59350832403425
278,140.06479112547495
279,81.88078561347267
280,84.33875861646176
281,50.79931714618714
282,43.48353759130117
283,42.56842011968673
284,91.41325131024807
285,48.22581230724519
286,30.328412342207937
287,34.537617007309294
288,34.59987898904785
289,47.945438225346855
290,97.95952135692052
291,109.57910401186476
292,100.18911833724817
293,103.21873838971986
294,90.02009837530701
295,158.1974872428339
296,171.65251740584213
297,106.90221831972691
298,86.8414960287439
299,50.677353554112784
300,51.32582472153972
301,50.60218930748859
302,70.43849290926971
303,146.26535225770027
304,82.76131345868994
305,39.644833373086186
306,65.09238069548445
307,28.317842827197033
308,20.784818677572154
309,38.99173119911626
310,26.1107530292342
311,20.729113506122257
312,23.800699191919044
313,58.083488184823146
314,71.23376035217419
315,96.51455315348876
316,37.78565387209885
317,37.96235399069005
318,79.3070996447778
319,63.002078873755096
320,95.25767290938238
321,120.96735966489359
322,144.29134333253248
323,134.76530228967238
324,97.89176337015682
325,99.64341806402784
326,74.1476005035681
327,46.68104669544657
328,82.52255379647069
329,37.96282885117181
330,42.334527294603454
331,43.259501563902575
332,20.630051976032405
333,39.976995273628326
334,17.764733445416788
335,29.510139422034563
336,18.775598250327374
337,25.065538192521675
338,68.46668054598109
339,38.95569690409319
340,70.05266806926159
341,61.78113671077545
342,63.09305043596061
343,65.50294115534852
