,0
0,1.0000000000000022
1,1.0000000000000022
2,1.0000000000000022
3,1.0000000000000022
4,1.0000000000000022
5,1.0000000000000022
6,1.0000000000000022
7,1.0000000000000022
8,1.0000000000000022
9,1.0000000000000022
10,1.0000000000000022
11,1.0000000000000022
12,1.0000000000000022
13,1.0000000000000022
14,1.0000000000000022
15,1.0000000000000022
16,1.0000000000000022
17,1.0000000000000022
18,1.0000000000000022
19,1.0000000000000022
20,1.0000000000000022
21,1.0000000000000022
22,1.0000000000000022
23,1.0000000000000022
24,1.000000000000002
25,1.0000000000000018
26,1.0000000000000016
27,1.0000000000000016
28,1.0000000000000016
29,1.0000000000000016
30,1.0000000000000016
31,1.0000000000000016
32,1.0000000000000016
33,1.0000000000000016
34,1.0000000000000016
35,1.0000000000000016
36,1.0000000000000016
37,1.0000000000000016
38,1.0000000000000016
39,1.0000000000000016
40,1.0000000000000016
41,1.0000000000000016
42,1.0000000000000016
43,1.0000000000000016
44,1.0000000000000016
45,1.0000000000000016
46,1.0000000000000013
47,1.000000000000001
48,1.0000000000000009
49,1.0000000000000007
50,1.0000000000000004
51,1.0000000000000004
52,1.0000000000000004
53,1.0000000000000004
54,1.0000000000000004
55,1.0000000000000004
56,1.0000000000000004
57,1.0000000000000004
58,1.0000000000000004
59,1.0000000000000002
60,0.9000000000000005
61,0.8100000000000006
62,0.7290000000000008
63,0.6561000000000009
64,0.5904900000000011
65,0.531441000000001
66,0.47829690000000114
67,0.4304672100000012
68,0.3874204890000012
69,0.3486784401000012
70,0.3138105960900012
71,0.2824295364810012
72,0.25418658283290124
73,0.22876792454961123
74,0.20589113209465018
75,0.18530201888518524
76,0.1667718169966668
77,0.1500946352970002
78,0.13508517176730028
79,0.12157665459057033
80,0.10941898913151339
81,0.09847709021836214
82,0.08862938119652601
83,0.0797664430768735
84,0.07178979876918623
85,0.06461081889226769
86,0.058149737003041
87,0.052334763302736974
88,0.04710128697246335
89,0.04239115827521709
90,0.038152042447695454
91,0.034336838202925976
92,0.030903154382633444
93,0.027812838944370165
94,0.025031555049933214
95,0.02252839954493996
96,0.02027555959044603
97,0.018248003631401492
98,0.016423203268261407
99,0.014780882941435328
100,0.013302794647291854
101,0.011972515182562727
102,0.01077526366430651
103,0.009697737297875915
104,0.008727963568088378
105,0.007855167211279594
106,0.007069650490151689
107,0.006362685441136573
108,0.005726416897022969
109,0.005153775207320725
110,0.004638397686588702
111,0.004174557917929882
112,0.0037571021261369407
113,0.0033813919135232927
114,0.003043252722171009
115,0.002738927449953954
116,0.0024650347049586033
117,0.002218531234462788
118,0.001996678111016554
119,0.0017970102999149424
120,0.001617309269923492
121,0.0014555783429311864
122,0.001310020508638111
123,0.0011790184577743416
124,0.001061116611996949
125,0.0009550049507972949
126,0.0008595044557176046
127,0.0007735540101458825
128,0.0006961986091313323
129,0.000626578748218237
130,0.0005639208733964512
131,0.0005075287860568435
132,0.00045677590745119636
133,0.0004110983167061136
134,0.0003699884850355391
135,0.0003329896365320216
136,0.000299690672878855
137,0.0002697216055910048
138,0.0002427494450319393
139,0.00021847450052878018
140,0.00019662705047593655
141,0.00017696434542837703
142,0.00015926791088557245
143,0.0001433411197970473
144,0.00012900700781737443
145,0.0001161063070356686
146,0.00010449567633213312
147,9.40461086989509e-05
148,8.464149782908644e-05
149,7.617734804620812e-05
150,6.855961324161667e-05
151,6.17036519174843e-05
152,5.553328672576506e-05
153,4.9979958053217546e-05
154,4.498196224792438e-05
155,4.048376602316044e-05
156,3.643538942087277e-05
157,3.2791850478813864e-05
158,2.9512665430960742e-05
159,2.6561398887892875e-05
160,2.390525899913173e-05
161,2.151473309924668e-05
162,1.9363259789349755e-05
163,1.742693381044244e-05
164,1.5684240429425376e-05
165,1.4115816386509902e-05
166,1.270423474788563e-05
167,1.1433811273123316e-05
168,1.0290430145836654e-05
169,9.261387131278435e-06
170,8.33524841817587e-06
171,7.501723576383252e-06
172,6.751551218769334e-06
173,6.076396096916762e-06
174,5.468756487249104e-06
175,4.921880838547971e-06
176,4.429692754716942e-06
177,3.986723479268909e-06
178,3.588051131365674e-06
179,3.2292460182527476e-06
180,2.906321416450968e-06
181,2.615689274829143e-06
182,2.3541203473694824e-06
183,2.1187083126550324e-06
184,1.9068374814117548e-06
185,1.7161537332924842e-06
186,1.5445383599850764e-06
187,1.39008452400824e-06
188,1.2510760716289055e-06
189,1.125968464487227e-06
190,1.0133716180593453e-06
191,9.120344562741211e-07
192,8.208310106670198e-07
193,7.387479096204158e-07
194,6.648731186782524e-07
195,5.98385806829869e-07
196,5.385472261662449e-07
197,4.846925035689705e-07
198,4.3622325323134573e-07
199,3.9260092792730963e-07
200,3.533408351535811e-07
201,3.1800675165720846e-07
202,2.8620607651003155e-07
203,2.5758546887674167e-07
204,2.3182692200643627e-07
205,2.0864422982302225e-07
206,1.87779806857748e-07
