,covid19_wlt
0,1.3281852235743575e-16
1,1.2513351170108815e-16
2,9.992667268330875e-17
3,-6.689305101184194e-05
4,-0.002261520921462599
5,-0.02417628508334548
6,-0.0769625517253595
7,-0.0471247160003639
8,0.0702650847237946
9,0.06544055772539767
10,-0.031504796218350097
11,0.006843750722774867
12,0.05922951097473642
13,-0.0019642283240977054
14,-0.05697170064203649
15,0.003930028870946255
16,0.05874158543263073
17,-0.00240336131199282
18,-0.059568237506694016
19,-0.020547770561274672
20,-0.018492329206716653
21,-0.0496385178329219
22,0.014933192048683777
23,0.09091979894707797
24,0.08396290747534074
25,0.018161404401906167
26,-0.007996969467865541
27,-0.029405081826120054
28,-0.06172886971537939
29,0.001783000829477667
30,0.05687615324632089
31,-0.004015357228659762
32,-0.05881771665614234
33,0.002335507509262917
34,0.05937404728064382
35,0.016104815407180013
36,-0.02551865039251624
37,-0.060298612498664084
38,0.0030033392735095213
39,0.057974457845949595
40,-0.0030268830889939313
41,-0.05792808993044311
42,0.003136171562392223
43,0.06009464492846019
44,0.016753353290214747
45,-0.02493496629778498
46,-0.05977329681340595
47,0.0034761233902418365
48,0.05839996355100868
49,-0.002643927954440753
50,-0.05758343030934525
51,0.0033794721703683736
52,0.05824608440211063
53,-0.002849312239460909
54,-0.05996959334141529
55,-0.020908990812523842
56,-0.018817427432840907
57,-0.049931106236433695
58,0.014669862485523155
59,0.09061590928922146
60,0.08155498265872987
61,-0.003945327011520769
62,-0.060956006636269225
63,0.00034415347613678954
64,0.05764872170184224
65,0.01668644651079857
66,-0.004988690269770408
67,-0.006691138418345307
68,-0.008290234803074639
69,-0.029602127576796318
70,-0.08184580996946528
71,-0.05145275536904716
72,0.06850427341651968
73,0.08386231967833933
74,0.020272192560156825
75,-0.003962836000899944
76,-0.007902293700901897
77,-0.02718544951131275
78,-0.059664307581040917
79,0.0037079998013941906
80,0.06074307644558581
81,0.053835558659373485
82,0.044761183136059646
83,0.0281115860963126
84,-0.0038209934829682123
85,-0.051324836376716865
86,-0.09232497557165797
87,-0.08782387383904705
88,-0.023008292963409283
89,0.06268302604623509
90,0.11361835886603353
91,0.11777860627683896
92,0.09863061303448938
93,0.06923636703457055
94,0.03465116880895923
95,0.013464638993449084
96,0.013160575233240634
97,0.006695662577002862
98,-0.030809496323079496
99,-0.08262061679635073
100,-0.10966724012400508
101,-0.08583384136204207
102,-0.0061264360416929675
103,0.10670890339689046
104,0.1966992060442907
105,0.20807760398507613
106,0.13523538299671206
107,0.027693279622382633
108,-0.05091296961886177
109,-0.06684642147306705
110,-0.03715509291661136
111,-0.009009306643925519
112,-0.005206994634712529
113,-0.0033516020562009323
114,0.016147612817031406
115,0.030490342388130982
116,0.010457037425974917
117,-0.0281425621500882
118,-0.04231257665842236
119,-0.02214049989751291
120,-0.0008708898148688353
121,-1.5313437349959613e-05
122,0.0007547053024170227
123,0.0197347948650681
124,0.03370213447362849
125,0.013347650302922672
126,-0.02554101056083523
127,-0.039987851985830186
128,-0.020156742266899407
129,0.00031494281820397194
130,-0.0013646341967537843
131,-0.007500820552485849
132,-0.002142685033179265
133,-0.006260733278856794
134,-0.042328414503162735
135,-0.09298764315842566
136,-0.11912273018232748
137,-0.09503515446599554
138,-0.01726522735097384
139,0.08821800390750857
140,0.16321794883505797
141,0.15977950045885012
142,0.09592030760397516
143,0.04061023785822631
144,0.03507450683913097
145,0.05435675341492797
146,0.05260221500268246
147,0.015575028475622074
148,-0.04318428582440391
149,-0.10600781728196736
150,-0.1477475854161691
151,-0.1315129674270569
152,-0.043214297484850256
153,0.07172813056036319
154,0.1375364532395684
155,0.11906808384879218
156,0.044189204962511164
157,-0.034763288882466575
158,-0.07607738669996962
159,-0.060372975876414596
160,-0.0022993937269585735
161,0.0528244397232746
162,0.029192691263057645
163,-0.004211429740143019
164,-0.046548476290283095
165,-0.09073395146775586
166,-0.12313031413034396
167,-0.12809505451032666
168,-0.09639590433896708
169,-0.032426973698418564
170,0.04564424497586441
171,0.11393602577737133
172,0.15399432218023124
173,0.15977253384823537
174,0.13694590536737025
175,0.09657705357785684
176,0.048224609368591825
177,-0.002914684350403117
178,-0.05330014593492021
179,-0.09557450741235465
180,-0.11593242447127561
181,-0.09861413379478097
182,-0.03624207424873776
183,0.06079265669666993
184,0.16372868957075445
185,0.23644163191262368
186,0.2529117760472246
187,0.21063783404711825
188,0.13112924364772158
189,0.047201312215706906
190,-0.014173206184574336
191,-0.042416095731240167
192,-0.04265515511568218
193,-0.027780051168004256
194,-0.010703283831118918
195,-0.0005297960996183682
196,-0.0013248191126492006
197,-0.011537773188860784
198,-0.02477333284293174
199,-0.033172479523580815
200,-0.031893865452939076
