,value,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,closeness_centrality,clique_number,before_percolation,after_percolation,page_rank,random_walk,mass_equivalent,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality
0,Total,359365.0,-0.2165542640712257,1.1057194452539025,0.004633713611719578,0.6200256701194126,804.0,0.004633713611719578,0.005717417799086572,0.4945268403669827,0.4945268403669827,4.695269407820871e-11,1.1399838335920497e-11,5.368368693867652e-17,4.1482848998068204e-17
1,Mean,740.9587628865979,-0.00044650363726025916,0.0022798339077400053,9.554048683957893e-06,0.6200256701194126,1.6577319587628867,9.554048683957893e-06,1.1788490307394994e-05,0.0010196429698288304,0.0010196429698288304,9.680967851177055e-14,2.3504821311176282e-14,1.1068801430654952e-19,8.553164741869733e-20
2,Standard Deviation,1656.0034533402272,0.002952154242872537,0.032903278951160575,8.739513788617467e-05,0.6200256701194126,0.4830818272976488,8.739513788617467e-05,0.00010664039316112365,0.0012675385128619468,0.0012675385128619468,2.1636448607165658e-13,5.2532026357059403e-14,2.4738182894406514e-19,1.9115868600223212e-19
