,username,before_percolation,after_percolation,degree,change
121,RolandBakerIII,6.046128990692926e-05,7.680662956007239e-05,870,increase
576,CNN,0.0,0.0,865,no change
1315,NSF,0.0,0.0,861,no change
140,DDPHE,0.0,0.0,860,no change
1311,NACCHOalerts,0.0,0.0,854,no change
16,reluctantlyjoe,2.973506060996521e-06,3.2873026304844544e-06,849,increase
572,bibimpg_ufrj,0.0,0.0,848,no change
1308,scoobschrisRL,0.0,0.0,846,no change
1304,ZNidaw,0.0,0.0,841,no change
1302,SLAY_NO,0.0,0.0,839,no change
571,Yonigussie,0.0,0.0,838,no change
1301,vbspurs,0.0,0.0,831,no change
1299,DrSamiSchalk,0.0,0.0,830,no change
1297,THTCymru,0.0,0.0,825,no change
1295,wingod,0.0,0.0,820,no change
563,AnswersNetwork,0.0,0.0,815,no change
1291,HCNowRadio,0.0,0.0,813,no change
1290,THTorguk,0.0,0.0,812,no change
1078,mayocliniclabs,9.911686869988404e-07,1.2165936254874537e-06,809,increase
1041,jiggyjayy2,0.0,0.0,799,no change
557,ufmg,0.0,0.0,795,no change
914,KindrachukJason,2.973506060996521e-06,3.2873026304844544e-06,782,increase
1268,TheDeniseFlores,0.0,0.0,780,no change
554,15bnNdrf,0.0,0.0,778,no change
1264,VanirErik,0.0,0.0,772,no change
1260,ChamiltonCEO,0.0,0.0,767,no change
1258,Phil_Lewis_,0.0,0.0,765,no change
1256,B_Abstract,0.0,0.0,764,no change
1174,ncdhhs,9.911686869988404e-07,1.2165936254874537e-06,761,increase
550,MailMyStatement,0.0,0.0,758,no change
1251,AmeshAA,0.0,0.0,756,no change
547,NYTHealth,0.0,0.0,751,no change
545,CDC_eHealth,0.0,0.0,745,no change
544,ThePharmaLetter,0.0,0.0,743,no change
1245,ARAllianceOrg,0.0,0.0,741,no change
543,pozmagazine,0.0,0.0,740,no change
540,monkeypox_stats,0.0,0.0,729,no change
1237,ChicoRingler,0.0,0.0,723,no change
1236,johngounaris,0.0,0.0,722,no change
427,UAMS_DBMI,0.0,0.0,710,no change
536,tigresseleanor,0.0,0.0,709,no change
1045,RyanTolson4,0.0,0.0,701,no change
533,Ssirr57,0.0,0.0,690,no change
1227,adynski,0.0,0.0,687,no change
1222,HungAladdin,0.0,0.0,677,no change
525,wwright75,0.0,0.0,660,no change
1213,idlette,0.0,0.0,658,no change
263,Monkeypoxx,0.0,0.0,657,no change
524,MeganMc_Littler,0.0,0.0,655,no change
1209,DNCClimate,0.0,0.0,652,no change
1199,Dr_Lalombriz_P,0.0,0.0,638,no change
1189,ColumbiaSIG,0.0,0.0,623,no change
515,chineseciv,0.0,0.0,621,no change
514,AnonRawBooty,0.0,0.0,619,no change
1185,UKHSA_WestMids,0.0,0.0,617,no change
1181,CoolHand8271,0.0,0.0,605,no change
507,12erock,0.0,0.0,602,no change
505,nypost,0.0,0.0,600,no change
235,redouad,9.911686869988404e-06,9.996375310366883e-06,597,increase
1175,KodyKinsley,0.0,0.0,589,no change
500,Qual_Insights,0.0,0.0,585,no change
1171,sbABetterLeader,0.0,0.0,583,no change
1170,MarieFleur3,0.0,0.0,582,no change
495,FDRLST,9.911686869988404e-07,1.2165936254874537e-06,571,increase
493,CraigCaplan,0.0,0.0,569,no change
993,truthhurts_the,0.0,0.0,559,no change
1161,LazarusLong13,0.0,0.0,544,no change
1160,DukeU,0.0,0.0,543,no change
482,RadioJamaicaFM,0.0,0.0,542,no change
1157,CovidEcoles,0.0,0.0,540,no change
1155,sleepyknave,0.0,0.0,538,no change
1152,JosephTucker,0.0,0.0,532,no change
201,GiveUsAQuid,0.0,0.0,525,no change
1148,UptTarzan,0.0,0.0,520,no change
475,RusticusShack18,0.0,0.0,518,no change
1145,JabariBrisport,0.0,0.0,516,no change
1143,ParaMicroBio,0.0,0.0,511,no change
