,id,username,bot_type,user_type,origin_tweet_date,degree,tweet_url
301,1088,Locala_Safesex,false (human account),human,2022-09-23,157,https://twitter.com/Locala_Safesex/status/1573298436774023171
302,268,sfls_vih,self_declared,bot,2022-09-29,154,https://twitter.com/sfls_vih/status/1575393317524852738
303,408,picardonhealth,other,bot,2022-09-27,153,https://twitter.com/picardonhealth/status/1574784563448057857
304,360,crwequine,spammer,bot,2022-09-27,152,https://twitter.com/crwequine/status/1574793307997470720
305,211,MagicMikeHung1,other,bot,2022-10-25,149,https://twitter.com/MagicMikeHung1/status/1584751493525438464
306,1110,editorji,spammer,bot,2022-09-29,149,https://twitter.com/editorji/status/1575345682877075456
307,404,LGBTEqCaucus,false (human account),human,2022-09-27,145,https://twitter.com/LGBTEqCaucus/status/1574784042381082624
308,1018,guty2370,false (human account),human,2022-09-29,143,https://twitter.com/guty2370/status/1575342306231812097
309,401,gregtannen,false (human account),human,2022-09-27,142,https://twitter.com/gregtannen/status/1574783708380405760
310,315,136sooverit62,other,bot,2022-09-29,140,https://twitter.com/136sooverit62/status/1575399945854558208
311,1080,twitmercan,self_declared,bot,2022-09-22,140,https://twitter.com/twitmercan/status/1572836673465233408
312,313,Forbes,spammer,bot,2022-09-29,136,https://twitter.com/Forbes/status/1575399447369900033
313,336,SpookyLCSW,false (human account),human,2022-09-27,134,https://twitter.com/SpookyLCSW/status/1574790980175273987
314,396,OddlyGreen,false (human account),human,2022-09-27,134,https://twitter.com/OddlyGreen/status/1574783432843882496
315,163,israfermoreno,self_declared,bot,2022-10-23,130,https://twitter.com/israfermoreno/status/1583973840946106368
316,310,AAPSonline,spammer,bot,2022-09-29,130,https://twitter.com/AAPSonline/status/1575399203232272386
317,392,ethicsinthenews,self_declared,bot,2022-09-27,129,https://twitter.com/ethicsinthenews/status/1574783384299134977
318,309,yowchuan,spammer,bot,2022-09-29,128,https://twitter.com/yowchuan/status/1575399067688919040
319,308,misscasiolrmy,spammer,bot,2022-09-29,126,https://twitter.com/misscasiolrmy/status/1575398972553801728
320,307,WHO,self_declared,bot,2022-09-29,124,https://twitter.com/WHO/status/1575398533083054080
321,389,Anti__Globalism,spammer,bot,2022-09-27,123,https://twitter.com/Anti__Globalism/status/1574783050306789378
322,306,WeAreHTSD,other,bot,2022-09-29,122,https://twitter.com/WeAreHTSD/status/1575398403030368257
323,305,FlavioCuter,spammer,bot,2022-09-29,120,https://twitter.com/FlavioCuter/status/1575398310428528646
324,387,Mrg305,spammer,bot,2022-09-27,119,https://twitter.com/Mrg305/status/1574782804008833025
325,383,SSalud_Tab,false (human account),human,2022-09-27,112,https://twitter.com/SSalud_Tab/status/1574782540434522113
326,379,jewstein3000,spammer,bot,2022-09-27,107,https://twitter.com/jewstein3000/status/1574796050556223490
327,74,CovidDataReport,false (human account),human,2022-10-24,105,https://twitter.com/CovidDataReport/status/1584629538054864897
328,377,NeZha219,private_account,bot,2022-09-27,104,https://twitter.com/NeZha219/status/1574795663866531840
329,376,WHOEMRO,false (human account),human,2022-09-27,102,https://twitter.com/WHOEMRO/status/1574795587031105536
330,375,TacosTriggers1,false (human account),human,2022-09-27,101,https://twitter.com/TacosTriggers1/status/1574795512774942722
331,374,overratedpunk,false (human account),human,2022-09-27,100,https://twitter.com/overratedpunk/status/1574795364032454660
332,373,Habte92144258,false (human account),human,2022-09-27,99,https://twitter.com/Habte92144258/status/1574795299058601985
333,135,1010WINS,self_declared,bot,2022-10-21,97,https://twitter.com/1010WINS/status/1583535589974212608
334,292,ndtvfeed,spammer,bot,2022-09-29,97,https://twitter.com/ndtvfeed/status/1575396123996717056
335,192,pridecenterSI,other,bot,2022-10-26,96,https://twitter.com/pridecenterSI/status/1585414768567156737
336,371,laurieallee,false (human account),human,2022-09-27,96,https://twitter.com/laurieallee/status/1574795181328670723
337,291,DailySabah,spammer,bot,2022-09-29,95,https://twitter.com/DailySabah/status/1575395880299110400
338,370,UKHSA_YandH,spammer,bot,2022-09-27,95,https://twitter.com/UKHSA_YandH/status/1574795136269156352
339,290,APPG_HIV_AIDS,spammer,bot,2022-09-29,93,https://twitter.com/APPG_HIV_AIDS/status/1575395600912228352
340,369,wedi_suhul1,spammer,bot,2022-09-27,93,https://twitter.com/wedi_suhul1/status/1574795019877339141
341,38,KarinWappmann,spammer,bot,2022-10-27,89,https://twitter.com/KarinWappmann/status/1585528081351147521
342,367,gobills_norcal,spammer,bot,2022-09-27,89,https://twitter.com/gobills_norcal/status/1574794486663651328
343,1,GMHC,self_declared,bot,2022-10-25,88,https://twitter.com/GMHC/status/1584984795389591555
344,17,avds,false (human account),human,2022-10-26,88,https://twitter.com/avds/status/1585381438241005568
345,132,glaad,spammer,bot,2022-10-21,87,https://twitter.com/glaad/status/1583487097759236096
346,204,Gundrummer69,other,bot,2022-10-24,87,https://twitter.com/Gundrummer69/status/1584597190831312897
347,72,AfricanServices,false (human account),human,2022-10-24,86,https://twitter.com/AfricanServices/status/1584626994985439232
348,203,nyk_new,spammer,bot,2022-10-24,85,https://twitter.com/nyk_new/status/1584538933391937537
349,202,BSrichawlaDO,false (human account),human,2022-10-24,83,https://twitter.com/BSrichawlaDO/status/1584470424192438274
350,265,agenceANRS,other,bot,2022-09-29,83,https://twitter.com/agenceANRS/status/1575393134196006913
351,285,Fred_Colby,other,bot,2022-09-29,83,https://twitter.com/Fred_Colby/status/1575395137928192001
352,121,HarperCollege,other,bot,2022-10-24,82,https://twitter.com/HarperCollege/status/1584577282160881666
